Date,CSI500,Shanghai ,CSI300,HSI,STI,TWSE,MSCI World,S&P500,N225,LSE,ASX,Custom
2017-12-08,-1.8474,-0.8327,0.1311,-1.4941,-0.7218,-1.9032,0.2,0.3512,-0.0348,-0.42,-1.4886,0.638204731
2017-12-15,0.6522,-0.7251,-0.5626,0.7272,-0.2248,0.8926,0.58,0.9168,-1.1304,-0.79,-1.5644,-0.930519888
2017-12-22,0.5972,0.9469,1.8524,2.5301,-0.914,0.4368,0.67,0.2814,1.5498,-0.81,-0.596,1.544275217
2017-12-29,1.1675,0.3066,-0.5856,1.1534,0.5083,1.0021,0.18,-0.3626,-0.6018,2.63,-0.327,-0.07976886
2018-01-05,2.97,2.5574,2.6767,2.993,2.5428,2.2263,2.53,2.601,4.1713,-0.51,1.1484,5.469036682
2018-01-12,-0.078,1.0965,2.084,1.9403,0.8915,0.0382,1.33,1.5708,-0.256,-0.39,-0.3965,-0.745008055
2018-01-19,-0.7594,1.7184,1.4294,2.6816,0.8465,2.4521,1.01,0.8635,0.6521,2.28,-1.1399,1.860512095
2018-01-26,2.8608,2.0146,2.2379,2.7879,0.4726,-0.0336,1.88,2.2265,-0.74,9.75,0.0915,3.488386174
2018-02-02,-5.2014,-2.6994,-2.5122,-1.666,-1.0462,-0.1872,-3.44,-3.8547,-1.5122,-0.54,2.0113,-3.392523766
2018-02-09,-8.0683,-9.5963,-10.0809,-9.4914,-4.3226,-6.7811,-5.56,-5.162,-8.1287,-5.75,-2.9037,-7.474632148
2018-02-16,3.2589,2.2144,3.2887,5.4495,1.9623,0.4757,4.24,4.3011,1.579,6.39,3.5813,4.5904572
2018-02-23,2.3782,2.809,2.6249,0.4877,2.6052,3.5837,0.14,0.5519,0.7943,-0.39,3.5466,1.956069142
2018-03-02,2.647,-1.0488,-1.3418,-2.1867,-1.5289,-0.8929,-2.39,-2.0402,-3.2483,-6.5,-0.4303,-3.602622659
2018-03-09,2.624,1.6174,2.3006,1.3496,0.1831,1.5577,2.85,3.5418,1.3576,2.91,0.4667,3.449041446
2018-03-16,-0.6823,-1.1274,-1.2763,1.6317,0.7623,1.4992,-0.71,-1.2402,0.9656,2.2,-0.2065,2.786326254
2018-03-23,-5.8727,-3.5818,-3.7345,-3.786,-2.5839,-1.8532,-4.57,-5.9502,-4.8839,4.63,-2.7759,-6.174914543
2018-03-30,6.5626,0.5118,-0.1649,-0.7124,0.1923,0.7658,1.49,2.0326,4.0569,-0.78,-0.5852,0.00671895
2018-04-06,-1.9756,-1.1924,-1.1193,-0.8256,0.4239,-0.7765,-0.68,-1.3783,0.5277,2.78,0.1427,-2.489093507
2018-04-13,0.2915,0.8924,0.4224,3.2282,1.7081,1.3294,1.76,1.99,0.9793,2.3,-0.2494,1.625455053
2018-04-20,-2.3608,-2.7701,-2.849,-1.2661,2.0587,-1.6963,0.51,0.521,1.7609,-2.12,0.3393,-0.071281387
2018-04-27,-1.211,0.348,-0.1058,-0.4526,0.1072,-2.0961,-0.18,-0.0086,1.3791,-0.03,3.5416,-0.471007798
2018-05-04,0.6675,0.2856,0.4717,-1.1696,-0.8898,-0.228,-0.32,-0.2431,0.0219,-1.53,3.7814,0.764063487
2018-05-11,1.5404,2.3368,2.6027,3.995,0.6992,3.1304,2.03,2.4142,1.2713,2.42,2.5671,3.187946435
2018-05-18,-0.2716,0.9497,0.7804,-0.2383,-1.1456,-0.2591,-0.52,-0.5407,0.7552,1.66,-1.0496,-0.738394573
2018-05-23,-1.483,-1.6284,-2.2179,-1.4812,-0.4545,1.0291,-0.47,0.3081,-2.0914,-0.87,-1.485,0.433829486
2018-06-01,-4.247,-2.1063,-1.2029,-0.311,-2.4399,0.062,-0.08,0.4884,-1.2447,-1.02,0.1491,-0.213974674
2018-06-08,-0.1393,-0.2598,0.2394,1.5259,0.2585,1.8937,1.35,1.624,2.3596,0.92,2.3652,1.125833994
2018-06-15,-3.2682,-1.4752,-0.6927,-2.0955,-2.3176,-0.618,-0.17,0.0227,0.6929,-3.01,1.6481,-0.246207916
2018-06-22,-7.0355,-4.3728,-3.8506,-3.2029,-2.0654,-1.6973,-0.9,-0.8915,-1.4656,1.04,2.1936,-1.811196337
2018-06-29,-0.6654,-1.4652,-2.7133,-1.3075,-0.5688,-0.5722,-1.21,-1.3253,-0.9429,-0.24,0.1555,-3.247176588
2018-07-06,-4.5273,-3.5186,-4.1544,-2.2086,-2.352,-2.1071,1.17,1.5248,-2.3151,1.16,-0.4349,-0.159364783
2018-07-13,3.8891,3.056,3.7909,0.741,2.1471,2.4129,0.99,1.5034,3.714,0.13,2.3085,1.440481476
2018-07-20,-2.0402,-0.0676,0.0058,-1.0551,1.1496,0.6219,0.21,0.0186,0.4449,-0.3,1.0977,0.578979906
2018-07-27,0.9423,1.5666,0.8112,2.0542,0.8233,1.3142,0.79,0.6064,0.0655,-1.3,0.0151,0.7506433
2018-08-03,-7.0442,-4.6336,-5.8486,-3.9159,-1.782,-0.572,-0.03,0.7638,-0.8258,-0.82,-0.1206,-2.853066928
2018-08-10,2.4941,2.0021,2.7067,2.4942,0.5833,-0.2611,-0.72,-0.2489,-1.0082,-2,1.3738,0.774961314
2018-08-17,-5.032,-4.5199,-5.1512,-4.0654,-2.2936,-2.665,-0.08,0.5947,-0.1242,-1.76,1.7275,-3.554963982
2018-08-24,1.1375,2.2655,2.9637,1.6847,0.1109,1.1074,1.1,0.8617,1.488,2.88,-1.1858,1.855146033
2018-08-31,-0.0046,-0.1532,0.2757,0.783,0.0149,2.3553,0.64,0.9333,1.1653,3.65,0.2074,1.277810834
2018-09-07,-0.5534,-0.8421,-1.7052,-3.2812,-2.4612,-1.9609,-1.74,-1.0284,-2.4408,0.12,-4.8344,-4.058903496
2018-09-14,-2.7391,-0.7644,-1.0847,1.1602,0.8624,0.195,1.36,1.1596,3.5308,4.3,-0.5593,1.803460775
